iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CA	Canada	2007	2964.92	-53.125839822545	75.7944177303528	41082110729.4423	4.63e+08	43248.5003180747	5.9	420693307000	37049.5521189338	48108800	43.9517532862551	32927517	19.7163185220418	80.2948	1.6589	7.17901008521462	17.0313979034617	16847.8844001508
CA	Canada	2008	3387.201	-53.1239243171681	74.9571817721857	43872317177.7861	4.58e+08	45101.5571724948	5.8	456470923000	37017.583260978	56028700	43.8351679801701	33317662	19.7815503257353	80.3812	1.6808	7.10515521509296	16.3569362099898	16449.9537812707
CA	Canada	2009	3297.516	-55.2504620224569	74.2291683509831	54356325867.6258	1.07e+08	39659.056861606	5.7	316093636591	35543.0602344239	49552100	43.888843025877	33726915	19.8130057706997	80.4676	1.668	7.0314103135093	15.2381972676718	15119.7641408946
CA	Canada	2010	3480.573	-57.76277812917	74.3251777699364	57151120473.5159	2.7e+08	46211.5338600698	5.6	387481216627	36242.4180811923	45650500	44.1494361574109	34126547	19.8231967769475	80.554	1.6269	6.95755544338765	14.6260731271757	16153.7878414713
CA	Canada	2011	3527.109	-62.4128277471284	73.4952582318338	65819020598.9898	3.42e+08	51554.0592083392	5.4	452130839917	36788.0036246336	47210700	44.6332922734204	34483975	19.8239788095618	80.6618	1.6269	6.88370057326599	NA	16405.7072886754
CN	China	1960	NA	NA	NA	NA	1.849e+09	92.0112292293181	NA	2571280000	124.69214169972	NA	77.4841233041551	667070000	6.30948955385787	16.203	5.758	NA	1.17038137226978	NA
CN	China	1961	1192.706	NA	NA	NA	1.768e+09	75.8725711623722	NA	1941660000	91.82602468357	1.07e+08	78.4197159621134	660330000	6.13662270725486	16.5796	5.887	36.7997684254539	0.836046900792028	NA
CN	China	1962	1323.136	NA	NA	NA	1.84e+08	69.7898732700808	NA	1913230000	85.51523430029	117640008	79.3428103849217	665770000	5.86281642781067	16.9562	6.008	37.0949187612906	0.661428164381093	NA
CN	China	1963	1490.744	NA	NA	NA	2.01e+08	73.6887660300494	NA	2031030000	92.0684779823	134720016	80.1586962802613	682335000	5.5129892977475	17.3328	6.103	37.4007901409281	0.640001899360285	NA
CN	China	1964	1622.722	NA	NA	NA	1.45e+08	83.9304352839254	NA	2250380000	104.20282874025	149430000	80.7372497345414	698355000	5.19348614264164	17.7094	6.157	37.7065543101276	0.625646053941047	NA
CN	China	1965	1746.533	NA	NA	NA	2.28e+08	97.4700979794469	NA	2563160000	118.40017221924	159090000	80.9995387910252	715185000	4.96962701709294	18.086	6.161	38.114275605873	0.665524211218076	NA
CN	China	1966	1879.112	NA	NA	NA	2.59e+08	103.181171509812	NA	2680950000	127.46610834329	174500000	80.8830100526058	735400000	4.83786810898197	17.9488	6.11	38.5005548140167	0.710891381561055	NA
CN	China	1967	1935.737	NA	NA	NA	1.75e+08	95.4966882458867	NA	2388490000	117.14992676343	178020016	80.4548879474441	754550000	4.6850584144885	17.8116	6.011	38.8868340221604	0.574162146975018	NA
CN	China	1968	1939.415	NA	NA	NA	1.82e+08	90.3713307770758	NA	2339740000	109.45147599454	173855008	79.9078705160807	774510000	4.53543298036069	17.6744	5.871	39.2725771781141	0.60545199674633	NA
CN	China	1969	1900.416	NA	NA	NA	2e+06	98.8898852999289	116.8	2429110000	124.49057010043	173470016	79.4760137118298	796025000	4.38535546954212	17.5372	5.692	39.7673533495221	0.725149509123457	NA
CN	China	1970	2127.704	NA	NA	NA	2e+06	111.822725534942	111	2307250000	144.59290327153	197635008	79.2826788892631	818315000	4.23950224041117	17.4	5.47	40.25944925998	0.942934534989582	NA
CN	China	1971	2173.976	-0.66356800788147	59.9498867485057	NA	2e+06	117.181590603316	105.6	2782510000	150.52237182693	209130016	79.3863858047273	841105000	4.06703701965128	17.4	5.2	40.7576561654043	1.04223969658961	151.202287467082
CN	China	1972	2106.517	-0.714773805413317	60.9000975624024	NA	2e+06	130.111267431395	100.2	3692540000	152.44958307553	203340016	79.668355398241	862030000	3.91282485968366	17.4	4.887	41.2525395472503	1.08067663654397	162.456063014048
CN	China	1973	2275.719	-1.00303311409065	61.3671805432257	NA	3e+06	155.078441987358	94.6	5876100000	160.779630261	218890016	79.8644851483355	881940000	3.77116122529252	17.4	4.542	41.8536684731626	1.09819569131687	173.791867927523
CN	China	1974	2389.208	-1.8101879055144	61.4722855727539	NA	3e+06	157.999378080141	89.3	7107890000	161.11438975506	231390016	79.6365273322738	900350000	3.64246726528445	17.4	4.181	42.5656529919753	1.09736711056811	172.279669017604
CN	China	1975	2480.383	-2.7500307343106	64.4684912050371	NA	3e+06	175.865754029463	83.7	7.689e+09	172.06499759052	241191200	78.7786150372116	916395000	3.52871976541261	17.4	3.826	43.0597248548369	1.25012409495905	196.377108124772
CN	China	1976	2522.328	-2.29879904654523	65.1051966952973	NA	3e+06	162.920514875234	78.3	6943440000	166.71229407532	246655325	77.2784479249628	930685000	3.35054853968249	17.7916	3.497	43.6979492765432	1.28528313553995	200.559802725949
CN	China	1977	2486.939	-2.04568345366312	67.504438702456	4456360000	7.5e+07	182.678567957925	73.2	7519650000	176.95442326212	239825142	75.2799001332999	943455000	3.18891875743695	18.1832	3.212	44.3350419140106	1.38884289658754	217.591724035593
CN	China	1978	2791.777	-2.32590974717188	69.6553524096222	4449800000	8.6e+07	154.972059729046	68.7	9954860000	195.03068407693	269820586	72.9400050032691	956165000	3.17048543222949	18.5748	2.982	44.9637252705193	1.52920110964112	246.555772277797
CN	China	1979	3032.502	-3.04753758500659	69.6796013954073	8707600000	1.2e+07	182.2847005647	64.7	13614100000	207.07231552726	289520560	70.4617533649655	969005000	3.15369508417883	18.9664	2.813	45.4694379909579	1.5426750986837	267.374265354668
CN	China	1980	2937.261	-2.86318005674128	69.0913493997638	10090779282.078	7e+06	193.022051265926	61.3	1.8099e+10	220.44171846487	277190199	67.9997388782783	981235000	3.14095837084197	19.358	2.71	45.9418081936825	1.49525074931082	281.624687256366
CN	China	1981	3081.552	-3.10795867836728	68.4007916671485	10106340306.1637	2e+06	195.305405132694	58.5	2.2007e+10	228.95304422343	283330308	65.5797343576625	993885000	3.07987565043727	20.0612	2.673	46.5099175228332	1.46043181655825	285.817775698396
CN	China	1982	3456.021	-4.1549453168608	68.8887174791826	17151500966.5934	1.5e+07	201.444746816831	56.4	2.2321e+10	246.13616393185	312085310	63.2165957749376	1008630000	3.01802458709025	20.7644	2.682	47.0353002223552	1.56673968353113	299.197921933712
CN	China	1983	3716.093	-5.1099796038154	69.6233680991109	19831699862.0122	1.2e+07	223.251945040786	54.7	2.2226e+10	269.04915792915	342270058	61.0202041216588	1023310000	2.95497501690021	21.4676	2.72	48.998651288352	1.62905590778943	317.020257790894
